name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Inertial Supercharger,nskr_inertial,2,,Kesteven,"offensive, merc, kesteven, no_drop, no_drop_salvage, codex_require_related",Weapons,8000,,,,8,10,12,15,lostsector.combat.hullmods.InertialSupercharger,The ship's projectile weapons are supercharged. Non-missile projectile weapons gain %s of the ship's current velocity as bonus damage.,,,graphics/lostsector/hullmods/nskr_inertial.png
Volatile Flux Injector,nskr_volatile,2,,Kesteven,"special, engines, offensive, merc, kesteven, no_drop, no_drop_salvage, codex_require_related","Weapons, Engines, Special",9000,,,,10,15,25,40,lostsector.combat.hullmods.VolatileFluxInjector,"Modifications to the ship's flux network boost performance significantly at low flux levels, but cause severe inefficiencies if flux is allowed to accumulate.",,,graphics/lostsector/hullmods/nskr_volatile.png
High Capacitance Banks,nskr_bigBats,2,,Kesteven,"offensive, merc, kesteven, no_drop, no_drop_salvage, codex_require_related",Special,7000,,,,6,12,20,30,lostsector.combat.hullmods.HighCapacitanceBanks,Massive reserves of spare power increase system maximum charges by %s. Applies to systems in the defense slot as well.,,,graphics/lostsector/hullmods/nskr_bigBats.png
Critical Point Protection,nskr_criticalArmor,2,,Kesteven,"defensive, merc, kesteven, standard, no_drop, no_drop_salvage, codex_require_related",Defenses,6500,,,,8,15,20,40,lostsector.combat.hullmods.CriticalPointProtection,"The defenses of lightly armored ships can be significantly reinforced through targeted modifications to critical structural components. Increases the ship's armor from %s/%s/%s/%s to %s/%s/%s/%s points, depending on hull size and base armor. Bonus scales with base armor.",Increases armor.,,graphics/lostsector/hullmods/nskr_criticalArmor.png
,,,,,,,,,,,,,,,,,,,
Kesteven Connections,CHM_kesteven,,,Kesteven,,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.KestevenConnections,"A vast network of Kesteven contacts lets you exploit tax refunds, subcontractors, cheap labor, government grants, and legal loopholes to squeeze every credit.

You recover %s of your monthly fleet expenditures (including crew pay) as a trickleback refund.",,,graphics/lostsector/hullmods/nskr_kestevenCC.png
,,,,,,,,,,,,,,,,,,,
Ultracaliber Battery,nskr_ultracaliber,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.UltracaliberBattery,"Projectile weapons mounted on this hull are specially modified, altering the performance of non-missile weapons.",,,graphics/lostsector/hullmods/nskr_ultracaliber.png
ABSORB System,nskr_absorption,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.AbsorbSystem,Extensive hull modifications enable this ship to absorb energy from incoming fire and redirect it to its weapon systems.,,,graphics/lostsector/hullmods/nskr_absorption.png
Augmented Systems,nskr_augmented,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.AugmentedSystems,This ship's performance shifts based on the hullmods it has installed.,,,graphics/lostsector/hullmods/nskr_augmented.png
Augmented Weapons,nskr_augmented_weapons,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.AugmentedWeapons,This ship is designed to adapt to its current weapons loadout.,,,graphics/lostsector/hullmods/nskr_augmented_weapons.png
,,,,,,,,,,,,,,,,,,,
Microweight Magazines,nskr_bigLightMags,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.MicroweightMagazines,Increases the ammo capacity of all small weapons by %s.,,,graphics/lostsector/hullmods/nskr_bigLightMags.png
Heavy Weapons Integration,nskr_hwi,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.HeavyWeaponsIntegration,Reduces the ordnance point cost of large weapons by %s.,Reduces ordnance point cost of large ballistic weapons.,,graphics/lostsector/hullmods/nskr_hwi.png
Heavy Missile Spec,nskr_missile_spec,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.HeavyMissileSpec,"This ship's loading and manufacturing systems support launching heavier and more numerous missiles than standard. Increases missile launcher capacity by %s and hitpoints by %s, but reduces maneuverability, speed, and rate of fire by %s.",,,graphics/lostsector/hullmods/nskr_missile_spec.png
High-Energy Weapon Systems,nskr_acoils,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.HighEnergyWeaponSystems,"This ship's medium energy weapons gain %s units of additional base range, and all energy weapons have their flux usage reduced by %s.",,,graphics/lostsector/hullmods/nskr_acoils.png
EM Core,nskr_emCore,,,,hide_in_codex,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.EmCore,Technical entry - should not show up in game!,,,graphics/hullmods/terminator_core.png
,,,,,,,,,,,,,,,,,,,
Hunter Of The Profane,nskr_machineSpirit,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.HunterOfTheProfane,"This ship's weapon and targeting systems have been extensively modified to interfere with Automated vessels. Covered by hand-crafted trinkets and religious icons, the mechanism behind it remains unclear.",,,graphics/lostsector/hullmods/nskr_machineSpirit.png
Hellspawn dummy,nskr_hellSpawnStats,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,lostsector.combat.hullmods.HellSpawnDummy,,,,graphics/lostsector/hullmods/nskr_machineSpirit.png
ThronesGift dummy,nskr_holySpirit,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,lostsector.combat.hullmods.ThronesGiftDummy,,,,graphics/lostsector/hullmods/nskr_machineSpirit.png
Mothership,nskr_mothership,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.Mothership,The ship's sheer scale affects the performance of certain systems.,,,graphics/lostsector/hullmods/nskr_mothership.png
Mothership Stats,nskr_mothership_frigate,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,lostsector.combat.hullmods.MothershipFrigate,The ship's sheer scale affects the performance of certain systems.,,,graphics/lostsector/hullmods/nskr_mothership.png
Causality Core,nskr_causality,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.CausalityCore,"Energy drawn from the time-reversal of incoming projectiles is temporarily stored in the ship, granting escalating buffs.",,,graphics/lostsector/hullmods/nskr_causality.png
Adaptive Protocol,nskr_protocol,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.AdaptiveProtocol,"This ship can switch between three modes, each boosting engines, weapons, or defenses. Each mode takes %s to reach full effectiveness.","Can swap modes to improve weapons, engines, or defenses.",,graphics/lostsector/hullmods/nskr_protocol.png
Antimatter Payload,nskr_aed,,,,hide_in_codex,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.AntimatterPayload,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]",,,graphics/lostsector/hullmods/nskr_aed.png
Advanced Shield Projector,nskr_focused_shield,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.AdvancedShieldProjector,"An advanced shield projector that sharpens its focus with rising flux. Increases shield size to %s, decreasing to %s as flux builds. Also improves shield efficiency up to %s and unfold rate up to %s, scaling from %s at zero flux.",Changes shield size and efficiency depending on flux levels,,graphics/lostsector/hullmods/nskr_focused_shield.png
Multi-Phased Weapon Coils,nskr_multi_phased,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.MultiPhasedWeaponCoils,"High-energy multi-phase flux coils enhance weapon flux efficiency. All weapon flux costs are reduced from %s up to %s, scaling with the ship's current flux level.",,,graphics/lostsector/hullmods/nskr_multi_phased.png
Lost Prototype,nskr_lost_prot,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.LostPrototype,"This ship's origin is unknown, with internals too complex to easily maintain, raising monthly upkeep by %s. It also performs poorly under sustained combat conditions.

Increases in-combat CR decay rate after peak performance time by %s.",Increases monthly maintenance and CR decay rate after peak time runs out.,,graphics/lostsector/hullmods/nskr_lost_prot.png
Unknown Production,nskr_domain_era,,,,hide_in_codex,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.UnknownProduction,"[DATABASE ERROR:451]OOOOOOoooooooooooooooo E ee 					
[If the problem persists, please contact your nearest TriPad™ service center for diagnostics and repair.]",,,graphics/lostsector/hullmods/nskr_domain_era.png
,,,,,,,,,,,,,,,,,,,
Rage dummy,nskr_rage_mod,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,lostsector.combat.hullmods.RageDummy,,,,
Teleport dummy,nskr_teleport_dummy,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,lostsector.combat.hullmods.TeleportDummy,,,,
Takedown dummy,nskr_takedown,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,lostsector.combat.hullmods.TakedownDummy,,,,
Pullback dummy,nskr_pullback,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,lostsector.combat.hullmods.PullbackDummy,,,,
HAX,nskr_stupidFuckingHax,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,lostsector.combat.hullmods.EmCore,,,,
,,,,,,,,,,,,,,,,,,,
Flux Anomaly Discharger,nskr_rogue_tech,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.FluxAnomalyDischarger,"The ship's complex reactor creates a space-distorting anomaly. Grants a flat %s unit increase to base range for non-large energy weapons. Energy weapon rate of fire is increased by %s at all times, and flux use is reduced by up to %s based on current flux, starting at %s with no flux.",Boosts energy weapons depending on flux levels,,graphics/lostsector/hullmods/nskr_rogue_tech.png
Rogue Company Ship,nskr_rogue_co,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.RogueCompanyShip,"Complex onboard systems let this ship take on limited civilian roles, increasing resource recovery from salvaging abandoned stations, derelicts, and wrecks by %s. This applies only to common materials like fuel and supplies, not rare items such as blueprints. Additionally, %s of the bonus applies to post-battle salvage. The overengineered nature of Rogue Co. ships raises monthly maintenance by %s.",,,graphics/lostsector/hullmods/nskr_rogue_co.png
,,,,,,,,,,,,,,,,,,,
Void Core,nskr_demonic_core,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.combat.hullmods.VoidCore,"Fitted with an exotic power core that seems to draw energy from nowhere, this ship gains a %s multiplier to both flux capacity and dissipation. The unstable, advanced reactor design raises monthly maintenance costs by %s.",Boosts flux capacity and dissipation,,graphics/lostsector/hullmods/nskr_demonic_core.png
